var_x,Intercept,x2,x1,gdp_gr2,gdp_gr1,gdp_gr,inflation2,inflation1,inflation,ur2,ur1,ur,Fed_rate2,Fed_rate1,Fed_rate,pce2,pce1,pce,fpi2,fpi1,fpi,ge2,ge1,ge,fvar,sfvar,rvar,srvar,corr,scorr,stable_val
tby_10yr,0.001412175,0,0.833507307,0,0.009463739,0.003035462,0,0,0.021767851,0,0.020686199,0,0,0,0.104440175,0,0.004614061,0,0,0,0.020692867,0,0,0,0.000804386,0.000545791,0.0000188,0.0000116,0.097617088,0.209478185,0.03831756
tby_1yr,0.000129872,0.10362739,0.512186056,0.006647653,0.016121668,0.004424144,0.009029203,-0.031821542,0,-0.021557215,0.019778514,0,0,-0.185085402,0.526885743,-0.001958493,-0.006202608,-0.04702107,-0.00526614,0.024406067,0.060259996,0.057367258,0,0.003255774,0.001068746,0.000711636,0.0000179,0.0000167,0.026274691,-0.061663325,0.024521398
sp500_rtn,0.006933576,-0.02850091,0,0,0,0,0,-0.034316838,-0.06278685,0,0.147855597,0,0,0,0,0,0,0.537744162,-0.368380487,-0.061503729,1.022382466,-0.178020625,0,-0.427266444,0.000749046,0.001903569,0.004249862,0.004726064,0.097120873,0.24911557,0.020571705
sp500_divd,0.001728678,0.331915396,0.50559332,0.003171309,-0.00734833,-0.00060805,0.01024604,0.021704812,0.006470415,0.0099932,0.006696838,0.003566102,0.010546575,0.009197668,-0.00933122,-0.046566829,-0.018425283,0.023837547,0.02884669,-0.020184764,-0.017443319,0.016253083,0.024232611,0.028244271,0.000120471,0.000100195,0.00000246,0.00000233,0.011008802,0.137766063,0.023902783
Baa_cs,0.003524883,0,0.842561446,0,0,0,0.004905197,0.009571054,0,0,0,0.009364283,0,0,0,0,0,-0.042134759,0,0,-0.051899969,0,0,0,0.0000557,0.0000381,0.00000873,0.00000968,0.102391657,0.100252879,0.021015041
Aaa_cs,0.001724567,0.137821607,0.75654228,-0.009612701,-0.007399868,-0.004499859,0,0.009713837,-0.003678546,0.004225917,0,0,0.003730333,0.039421977,-0.042079448,0.001951281,0,0,0.017824319,0.011223181,-0.025485686,0.015307606,-0.01636735,0.007035722,0.0000302,0.0000197,0.00000373,0.00000381,0.026660742,0.059558509,0.01211302
BBB_default,0.000287355,0,0.754153022,0,0,0,0,0,0,0,-0.000127138,0,0.002337604,0,0,0,0,0,-0.002035052,-0.004387871,0,0,0.015648233,0,0.000004,0.00000341,0.00000169,0.000000299,0.066193307,0.223014733,0.001635098
mhp_gr,-0.009864514,-0.055966084,-0.280585518,0,0.132467059,0.157356428,-0.04371013,0,0,0,0.023284304,0.171844598,0,0,-0.112546254,0,0.112832508,0,0.189889851,-0.117130719,0.030675435,-0.073800425,0.153975638,0.01302185,0.000152073,0.000245835,0.000636733,0.000520871,0.087954481,0.000370995,0.01108308
rent_gr,0.004288719,0.274732509,0,0,0,0,0.022875819,0,0,0,0,0,0.033554527,0,0,0,0,0,0,0,0,0,0.029161756,0,0.0000105,0.0000107,0.0000329,0.0000239,0.112044624,0.272855602,0.008044341
